,Electricity: Distribution Losses,Electricity: Imports,Economics: GDP
2022-01-01,11.168003570213907,6.339001899031538,329120515372.22656
2023-01-01,11.073055121686398,6.152049492857076,316357983483.1334
2024-01-01,11.743255679330755,5.74612350890389,300599206775.5594
2025-01-01,10.671457215999329,5.062657119842301,273738939702.03546
2026-01-01,9.829004484941677,4.445412420309806,247184853383.10727
2027-01-01,12.103433365776358,6.72362366094678,342401786064.5508
2028-01-01,11.876334289471103,6.498426305133493,331992824084.5023
2029-01-01,11.770856928152748,6.154940062187919,319087063859.5864
2030-01-01,10.769942011999962,5.447073129202367,291057168418.36816
2031-01-01,10.103105062147176,4.9845906626584595,268484829522.2283
