,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
2022-01-01,0.07941288438348963,4.026606157102729,9539352230.053534
2023-01-01,0.08324098997409288,4.0008208085724695,10999731161.421225
2024-01-01,0.09093842453168134,3.9863324853681674,12415610061.243538
2025-01-01,0.08398976463169701,4.053234977915609,11851550976.492537
2026-01-01,0.07871771472537557,4.069402029422683,11114417496.907368
2027-01-01,0.07006876326890532,4.102146501391115,9736632461.25846
2028-01-01,0.07676986774133265,4.079342168805735,10984591032.033665
2029-01-01,0.08398697782542416,4.053462307247411,12126415433.484922
2030-01-01,0.0810512619708966,4.071225085868297,11665107909.667099
2031-01-01,0.07733689223289802,4.082948635673763,11068457893.100973
