,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
1992-01-01,5.891,0.041358786,0.479880578,111452869378.467
1993-01-01,5.168,0.047726762,0.644514749,128889318946.587
1994-01-01,6.867,0.057440282,0.870815624,146683499005.964
1995-01-01,6.505,0.076832693,0.699121363,169278753531.98
1996-01-01,7.575,0.084466565,0.8056064,183035114648.4
1997-01-01,8.067,0.097880419,0.745627695,150180619366.605
1998-01-01,7.823,0.137598501,1.622711069,113675561057.462
1999-01-01,7.492,0.164825027,2.255660058,126669064386.717
2000-01-01,7.59,0.149922702,2.966260302,126392233706.79
2001-01-01,9.423,0.167524222,2.881761649,120296476180.402
2002-01-01,7.916,0.187835653,2.81217593,134300851255.002
2003-01-01,8.552,0.206114282,2.47341036,152280677649.055
2004-01-01,9.981,0.253059754,3.377852738,172895749632.046
2005-01-01,10.715,0.501087486,4.371886121,189318549680.384
2006-01-01,11.18,0.586128125,5.151853594,221758196504.936
2007-01-01,9.268,0.744679257,4.488359136,262942476722.425
2008-01-01,8.954,0.961094251,2.783573901,291382991177.698
2009-01-01,8.776,1.305501083,2.4600901,281710416557.292
2010-01-01,10.121,1.313651456,7.253783506,341104820155.464
2011-01-01,10.833,1.335339387,10.77440883,370819140946.553
2012-01-01,9.502,1.911847914,10.52742564,397558222957.17
2013-01-01,10.34,1.794222323,12.57179155,420333203150.426
2014-01-01,10.545,2.066299134,12.25971346,407339454060.678
2015-01-01,11.782,2.266805599,14.41447562,401296437424.995
2016-01-01,12.225,1.436331849,19.8253561,413366150655.591
2017-01-01,11.92,1.105965318,24.42742405,456356961443.497
2018-01-01,12.904,1.093169882,26.66943825,506611070188.362
2019-01-01,13.286,2.882013172,25.54665479,544263840039.166
2020-01-01,12.973,2.617582546,29.55057072,501643653514.925
2021-01-01,12.973,2.617582546,31.29333623,501643653514.925
