,Electricity: Distribution Losses,Electricity: Installed Capacity,Economics: GDP
2022-01-01,0.030692483412790135,0.08446127612703841,1639330148.7226133
2023-01-01,0.027102710096039807,0.09454809896630888,1945213118.261775
2024-01-01,0.02592748828951399,0.09286318090191592,1877051722.0402975
2025-01-01,0.025613194232827215,0.09077420144310769,1812326415.2378697
2026-01-01,0.027010676347651967,0.08848077393133394,1744593449.5534005
2027-01-01,0.029202162442611836,0.08359264333689496,1612978773.9159176
2028-01-01,0.02795720261201355,0.09113942596305631,1833450385.258094
2029-01-01,0.027780366674141015,0.08929127006280987,1774177145.985347
2030-01-01,0.027914358266092416,0.08755347304444396,1723598641.919005
2031-01-01,0.02880904307631664,0.08624194294185203,1690147420.6428416
