,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,4.6775929528128035,5.662978587077384,7.421287375636834,20.55093120530405,48.19041943809616,1.7583087885594513,112.75240821361668,-0.09056950190173615,230216007144.21176
2023-01-01,4.731248714364036,5.239085378958554,8.114755276150118,20.920534375820186,48.826293111008,2.8756698971915657,112.94722323635897,-0.13840409984869145,235921636616.96106
2024-01-01,4.777486790780113,5.497308689816606,7.706017010375227,21.536450572099557,48.92003728265661,2.2087083205586233,112.81079544123408,-0.18705686697431026,233979943840.23257
2025-01-01,4.731584908098085,5.669020408618422,7.2419082563982675,20.5408936464535,47.78938024794322,1.5728878477798474,112.48998438938418,-0.1423545884396831,220604493730.55618
2026-01-01,4.664065943212636,5.931039562771824,6.677973215875929,20.07331313394325,47.77772647681902,0.7469336531041071,112.54557464866292,-0.10289787604518097,216306964788.0897
2027-01-01,4.621382067466394,5.297420868227299,7.604636938997498,20.292380156788308,48.438456477736004,2.3072160707702007,112.98746164880406,-0.08920961458248006,231126616893.17056
2028-01-01,4.669962158784325,5.224495804391089,7.928885077980512,20.578367836061638,48.849398011647715,2.704389273589424,113.09659376153402,-0.11334885310591516,235503433904.39236
2029-01-01,4.72038752017549,5.406626695169027,7.8265527044192975,20.770970250152274,48.81193644786,2.4199260092502715,112.99077241533526,-0.1357987269608657,233896324843.06512
2030-01-01,4.658504434345347,5.4742958259005885,7.424424295217354,20.039452731281287,47.86704862558006,1.9501284693167662,112.7412903715689,-0.09642787727649652,223964370349.0417
2031-01-01,4.613285209424063,5.480791289297953,7.239055109006293,19.8479458696169,47.922338493566386,1.7582638197083424,112.7951878464384,-0.07800889829511928,222709477901.84106
