,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
2022-01-01,13.02808046394569,2.517262638886349,29.59190754011593,498098630843.88403
2023-01-01,13.490663664081994,2.9058432210237943,28.144926056491027,531404481675.3084
2024-01-01,14.585758029939603,2.2397816482557733,29.77769074781276,566505445058.6562
2025-01-01,15.809001826636633,1.8971727798156803,37.47889210411513,531368788290.551
2026-01-01,15.490587563910301,1.804521785418448,35.07898651358883,509124519518.26337
2027-01-01,15.049280664870768,2.539214299552528,34.70675653732397,553662698803.5757
2028-01-01,15.33252448204717,2.8251655726975393,38.66081590922293,555318964632.818
2029-01-01,16.270896279037572,2.7267368707380655,41.85949476419638,632227247587.054
2030-01-01,17.067743758150126,2.4469583480935073,43.487041248304756,624785174642.3538
2031-01-01,17.473172425761376,2.366681104267897,46.079992219174954,605263165115.9531
