,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
2022-01-01,2.895840835544556,6.810392629433954,-0.0008529109469606628,416218016758.38574
2023-01-01,2.9685682323786655,6.646460113990953,-0.0012776039450084309,413783332984.21484
2024-01-01,2.9586194766838974,6.272186049398429,-0.0013489715831553734,403807360698.7033
2025-01-01,2.92510589546404,6.103101097200857,-0.0012047655110328176,399724907335.2102
2026-01-01,2.8338846624048806,6.08050294589529,-0.0010773652762174502,398389735750.51953
2027-01-01,3.103532388444138,7.190845908667344,-0.0014767045848647332,446867676113.2532
2028-01-01,3.1385688210790468,7.057422037631009,-0.001581023833345102,441932419845.181
2029-01-01,3.150401131348927,6.830023193482743,-0.001643687634133209,437294928663.2981
2030-01-01,3.1508769754570265,6.799438476247988,-0.0015003229962811384,438898757063.6687
2031-01-01,3.167483006455455,7.06254757255688,-0.001391406091736153,452411307242.71075
