,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,0.3591609678051878,2.0904222689685774,0.6610544024113691,21091661417.33088
2023-01-01,0.35404140364117603,2.120992250456687,0.6653978093897372,22062085532.567505
2024-01-01,0.34932193269611816,2.1147258073224715,0.6655248330709606,22339615926.2513
2025-01-01,0.29443865367854993,2.078390851654597,0.6598343521904346,22534429527.678497
2026-01-01,0.2887433072027898,2.08722304612495,0.6605787117281572,22674690915.375
2027-01-01,0.3342804349703385,2.059086270180326,0.6565286681822261,21122502535.352993
2028-01-01,0.329176044342224,2.091785838417121,0.6620498693820211,21836255611.537575
2029-01-01,0.3249555991298188,2.095774144625349,0.6629385353237849,22075834968.9069
2030-01-01,0.3024189380656249,2.0851573449269645,0.6606067916006317,22490745601.447174
2031-01-01,0.3012371692685469,2.094356100412887,0.6622526963162888,22612762626.97724
