,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
2022-01-01,0.03760631360445847,1.8957349026479664,1281628060.9479458
2023-01-01,0.028582367807493392,2.0617453344309618,1776345039.4785948
2024-01-01,0.02512870794962533,1.9542569343079328,1603990960.8032923
2025-01-01,0.03337310150368893,1.9839890698599745,1505237833.479215
2026-01-01,0.023894356564724974,2.2310005244733233,1602585072.607185
2027-01-01,0.03701098463245719,2.1404332231518524,1503345850.685696
2028-01-01,0.03298606174494277,1.7484776668544284,1904294743.220045
2029-01-01,0.027048653199455243,1.9841137131577415,1563797878.4906344
2030-01-01,0.037679530842707844,1.9932903134634294,1960608886.2538948
2031-01-01,0.02773273000167481,2.033254380673122,1951647952.893381
